Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,106350,-106350
3,0,0,123100,-123100
4,0,0,280680,-280680
5,0,0,326720,-326720
6,0,0,371110,-371110
7,1586000,430707,444900,-14193
8,1641960,453752,506033,-52281
9,3298720,887729,580906,306823
10,3631643,1041480,625958,415522
11,3966322,1193701,654723,538978
12,4212678,1311648,708983,602665
13,4324068,1364701,740362,624339
14,6216068,1919468,793210,1126258
15,6274332,1949096,872816,1076280
16,6344152,1978837,920925,1057912
17,6409052,2007321,971600,1035721
18,6465872,2036308,1005204,1031104
19,6507061,2051253,1054073,997180
20,6539053,2056875,1087933,968942
21,6611834,2086855,1122590,964265
22,6671591,2116202,1157485,958717
23,6729654,2146464,1192057,954407
24,6808202,2179326,1259919,919407
25,6899802,2218082,1294699,923383
26,6947611,2243039,1367479,875560
27,7017630,2257474,1642329,615145
28,7049105,2273953,1677215,596738
29,7072075,2285634,1713791,571843
30,8883730,2797396,1852296,945100
31,8883730,2797397,2238931,558466
32,8883730,2797397,2273686,523711
33,10404831,3332383,2618766,713617
34,10404831,3332385,2669463,662922
35,11467280,3614441,2800488,813953
36,11467280,3614440,2835709,778731
37,12395280,3789111,2871255,917856
38,13777776,4161224,2907410,1253814
39,14666140,4303586,2940562,1363024
40,14783881,4345371,2986738,1358633
41,15189893,4436718,3054634,1382084
42,15965865,4592612,3089267,1503345
43,17699737,4862197,3166185,1696012
44,17769929,4891262,3248476,1642786
45,17850209,4926363,3316330,1610033
46,17908917,4957509,3354216,1603293
47,17968809,4989184,3392310,1596874
48,18003457,5007509,3440335,1567174
49,18726123,5166724,3495137,1671587
50,21344240,5814493,3529515,2284978
51,22112254,6136667,3564572,2572095
52,22130598,6148200,3599838,2548362
53,22273572,6287152,3637872,2649280
54,22293374,6298492,3678287,2620205
55,22446462,6364057,3724596,2639461
56,22539070,6431751,3795777,2635974
57,25090161,7907923,3863390,4044533
58,25395611,8099582,3921146,4178436
59,25434391,8121497,3964108,4157389
60,25508433,8153458,4007230,4146228
61,25541237,8176967,4051195,4125772
62,25736612,8263967,4097638,4166329
63,25843845,8304697,4145701,4158996
64,26162905,8431872,4269577,4162295
65,26931706,8811259,4333193,4478066
66,27236880,8954538,4383610,4570928
67,27348458,9029149,4437632,4591517
68,28078284,9259869,4502638,4757231
69,28589062,9422781,4583063,4839718
70,28927366,9480443,4644423,4836020
71,29921702,9795040,4693627,5101413
72,31262521,9869172,4743395,5125777
73,32292764,9919602,4807628,5111974
74,32993183,9781887,4857835,4924052
75,33096657,9851230,4904277,4932619
76,33968791,9881145,4950738,4916073
77,34329758,9929282,5000062,4914886
78,34671937,10155040,5082668,5058038
79,35694277,10171490,5150775,5006381
80,35817475,10221154,5200430,5006390
81,39859259,10289992,5275660,4999998
82,40511747,10453117,5327856,5110927
83,40937787,10540182,5378359,5147489
84,42959672,10179898,5469902,4695662
85,44377680,9979448,5541970,4423144
86,46152451,9671325,5627914,4029077
87,48571076,9252884,5706933,3531617
88,49811327,9396415,5781407,3600674
89,51028074,9065357,5900503,3150520
90,51839965,8837656,6049672,2773650
